Number,Questions,Option a,Option b,Option c,Option d,Correct Answer,Explanation,Level of Difficulty,Source,SUBJECT
608,What is the primary reason for rapid continuous rewarming of an area affected by frostbite?,To lessen the amount of cellular damage,To prevent the formation of blisters,To promote movement,To prevent pain and discomfort,a,"Rapid rewarming (e.g., in a warm water bath) is the standard treatment for frostbite. It helps to restore blood flow and limit the extent of tissue death (necrosis) by reducing the time the tissue is frozen.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
609,What is the chief purpose of a Jackson-Pratt drain after abdominal surgery?,To prevent the need for dressing changes,To reduce edema at the incision,To provide for wound drainage,To keep the common bile duct open,c,"A Jackson-Pratt (JP) drain is a closed-suction drain used to remove fluids (like blood and serous fluid) that collect in a surgical site. This prevents the formation of a haematoma or seroma, which can delay healing and increase the risk of infection.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
610,A client with bladder cancer is treated with iridium seed implants. What discharge teaching is needed?,Strain his urine,Increase his fluid intake,Report urinary frequency,Avoid prolonged sitting,a,Iridium-192 seeds are a form of brachytherapy (internal radiation). There is a risk that a seed could become dislodged and passed in the urine. The patient should be taught to strain their urine so that any lost seeds can be recovered and handled safely.,Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
611,What category of medication is used to prevent organ rejection after a transplant?,Antivirals,Antibiotics,Immunosuppressants,Analgesics,c,"After a transplant, the recipient's immune system will recognise the new organ as foreign and try to attack it (rejection). Immunosuppressant medications are used to dampen down this immune response.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
612,What type of medication is used during cataract surgery?,Mydriatics to facilitate removal,Miotic medications such as Timoptic,A laser to smooth and reshape the lens,Silicone oil injections into the eyeball,a,"To perform cataract surgery, the surgeon needs to have a clear view of the lens. Mydriatic eye drops are used to dilate the pupil widely, allowing easy access to the cataract.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
613,A client on TPN has an order for sliding-scale insulin. Why?,TPN leads to negative nitrogen balance,TPN cannot be managed with oral hypoglycemics,TPN is a high-glucose solution that often elevates blood glucose levels,TPN leads to further pancreatic disease,c,"Total Parenteral Nutrition (TPN) solutions are highly concentrated and contain a large amount of dextrose (glucose). This can overwhelm the body's own insulin production and cause significant hyperglycaemia, which needs to be managed with insulin.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
614,What is a key piece of advice for a client with a long history of polio?,Taking a hot bath will decrease stiffness,A schedule of strenuous exercise will improve muscle strength,Rest periods should be scheduled throughout the day,Visual disturbances can be corrected with glasses,c,"Many people who have had polio develop post-polio syndrome later in life, which is characterised by new muscle weakness, fatigue, and pain. A key management strategy is energy conservation, which involves pacing activities and scheduling regular rest periods.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
615,"In a double-barrel colostomy, what is the proximal end?",The opening on the client's left side,The opening on the distal end on the client's left side,The opening on the client's right side that discharges faeces,The opening on the distal right side that discharges mucus,c,"A double-barrel stoma has two openings. The proximal stoma is the one connected to the functioning part of the bowel and will discharge stool. The distal stoma (or mucus fistula) is connected to the non-functioning, resting part of the bowel and will only discharge mucus.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
616,When should ranitidine (Zantac) be administered for erosive gastritis?,30 minutes before meals,With each meal,In a single dose at bedtime,60 minutes after meals,c,"Ranitidine is an H2-receptor antagonist that reduces stomach acid production. For conditions like gastritis, a single dose at bedtime is often effective at controlling nocturnal acid production.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
617,A client is allergic to eggs. The nurse should question an order for which vaccine?,TB skin test,Rubella vaccine,ELISA test,Chest x-ray,b,"Some vaccines, including the MMR (measles, mumps, rubella) vaccine, are grown in cultures that contain egg protein. While most people with an egg allergy can now safely receive the MMR vaccine, it is a known contraindication that the nurse should be aware of and check.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
618,What dietary advice should be given to a client with recurring UTIs?,Increase intake of meats,Avoid citrus fruits,Perform pericare with hydrogen peroxide,Drink a glass of cranberry juice every day,d,"While the evidence is not conclusive for treatment, there is some evidence that regular consumption of cranberry products can help to prevent UTIs by stopping bacteria from adhering to the bladder wall.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
619,A client with enuresis (bedwetting) is being taught about bladder retraining. They should be advised to refrain from drinking after what time?,19:00 (7 pm),12:00 (midday),10:00 (10 am),07:00 (7 am),a,"As part of bladder retraining for nocturnal enuresis, it is standard advice to limit fluid intake for a few hours before bedtime. 7 pm is a reasonable cut-off time.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
620,What should a client with a pacemaker be taught to do?,Report ankle edema,Check his blood pressure daily,Refrain from using a microwave oven,Monitor his pulse rate,d,"Clients with a pacemaker should be taught how to take their own pulse and to report any significant changes from the pacemaker's set rate, as this could indicate a problem with the device.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
621,A client with colour blindness will most likely have problems distinguishing which colours?,Orange,Violet,Red and Green,White and Black,c,The most common form of colour blindness is red-green colour deficiency.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
622,A client with glaucoma is prescribed miotic eye drops. What is the purpose of this medication?,To anesthetize the cornea,To dilate the pupils,To constrict the pupils,To paralyze the muscles of accommodation,c,"Glaucoma is a condition where pressure builds up inside the eye. Miotic drugs constrict the pupil (miosis). This helps to increase the drainage of aqueous humour from the eye, which in turn lowers the intraocular pressure.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
623,What is the function of the lens in the eye?,The lens controls stimulation of the retina.,The lens orchestrates eye movement.,The lens focuses light rays on the retina.,The lens magnifies small objects.,c,"The lens is a clear, biconvex structure in the eye that, along with the cornea, helps to refract (bend) light to be focused on the retina, allowing us to see images clearly.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
624,A client with cystic fibrosis is taking pancreatic enzymes. When should this medication be administered?,Once per day in the morning,Three times per day with meals,Once per day at bedtime,Four times per day,b,People with cystic fibrosis do not produce the enzymes needed to digest food. Pancreatic enzyme replacement therapy (PERT) must be taken with every meal and snack to help the body absorb fats and proteins.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
625,Early ambulation after surgery prevents all complications except which?,Chest infection and lung collapse,Muscle wasting,Thrombosis,Surgical site infection,d,"Early mobilisation is crucial for preventing respiratory and circulatory complications and muscle deconditioning. However, it has little direct impact on preventing infection of the surgical wound itself, which is more dependent on sterile technique.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
626,"If a patient is unable to reposition themselves, how often should their position be changed?",1 hourly,2 hourly,3 hourly,As often as possible,b,"For patients at risk of pressure ulcers who cannot move themselves, a 2-hourly repositioning schedule is a common and evidence-based guideline to relieve pressure and maintain skin integrity.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
627,A nurse is prioritising care. Which client should be seen first?,A client who needs to be suctioned,A client who needs her dressing changed,A client who needs to be medicated for incisional pain,A client who is incontinent & needs to be cleaned,a,"Following the ABC (Airway, Breathing, Circulation) principle of prioritisation, a patient who needs suctioning has an airway problem, which is the highest priority as it is immediately life-threatening.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
628,What is the first technique used to examine a client's abdomen?,Palpation,Auscultation,Percussion,Inspection,d,"The correct sequence for abdominal assessment is Inspection, Auscultation, Percussion, and then Palpation. Auscultation is performed before palpation because physically touching the abdomen can alter the bowel sounds.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
629,A patient in A&E suddenly becomes unresponsive. What is the priority action?,Assess for signs of life,Shout for help,Perform CPR,Keep the airway open,b,"In any collapse, the first step is to ensure the scene is safe, then check for a response. If there is no response, the immediate next action is to shout for help to attract the attention of other staff and the resuscitation team.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
